AB,BB,ERA,G,H,HR,IP,K,K_per_9,Name
,,2.30,,,,15.2,,0.0,Brent Suter
134,16,,35,36,5,,41,,Elly De La Cruz
,,2.35,,,,15.1,,0.0,Emilio Pagán
110,16,,32,33,1,,31,,Gavin Lux
,,2.20,,,,16.1,,0.0,Graham Ashcraft
,,2.53,,,,42.2,,0.0,Hunter Greene
74,13,,26,16,3,,15,,Jake Fraley
76,5,,27,23,3,,10,,Jose Trevino
,,4.50,,,,2.0,,0.0,Luis Mey
97,15,,26,16,4,,35,,Matt McLain
,,3.27,,,,41.1,,0.0,Nick Lodolo
,,4.19,,,,38.2,,0.0,Nick Martinez
68,5,,19,20,3,,12,,Noelvi Marte
79,7,,26,27,0,,7,,Santiago Espinal
,,3.21,,,,14.0,,0.0,Scott Barlow
107,10,,28,22,3,,25,,Spencer Steer
133,11,,32,36,1,,23,,TJ Friedl
,,1.59,,,,11.1,,0.0,Taylor Rogers
,,1.69,,,,16.0,,0.0,Tony Santillan
5,0,,3,1,0,,1,,Tyler Callihan
10,2,,3,3,1,,3,,Tyler Stephenson
,,3.86,,,,2.1,,0.0,Yosver Zulueta
68,1,,21,22,0,,13,,Angel Martínez
30,7,9.00,14,4,2,1.0,14,0.0,Austin Hedges
,,3.72,,,,36.1,,0.0,Ben Lively
76,11,,25,14,5,,18,,Bo Naylor
82,5,,32,15,0,,19,,Brayan Rocchio
,,1.08,,,,16.2,,0.0,Cade Smith
114,15,,32,25,3,,22,,Carlos Santana
62,7,,25,17,4,,19,,Daniel Schneemann
0,0,5.87,16,0,0,15.1,0,0.0,Emmanuel Clase
103,8,,32,27,4,,32,,Gabriel Arias
,,5.06,,,,32.0,,0.0,Gavin Williams
,,0.68,,,,13.1,,0.0,Hunter Gaddis
,,4.11,,,,15.1,,0.0,Jakob Junis
67,2,,27,11,2,,21,,Jhonkensy Noel
,,2.20,,,,16.1,,0.0,Joey Cantillo
117,10,,32,31,5,,15,,José Ramírez
,,1.64,,,,11.0,,0.0,Kolby Allard
105,17,,31,23,8,,33,,Kyle Manzardo
,,4.02,,,,31.1,,0.0,Logan Allen
,,4.78,,,,32.0,,0.0,Luis L. Ortiz
,,0.00,,,,1.1,,0.0,Matt Festa
77,13,,30,12,1,,30,,Nolan Jones
135,10,,34,45,4,,14,,Steven Kwan
,,4.26,,,,38.0,,0.0,Tanner Bibee
,,2.84,,,,12.2,,0.0,Tim Herrin
16,2,9.00,8,3,0,2.0,6,0.0,Will Wilson
39,2,,15,7,1,,14,,Adael Amador
22,0,,7,5,0,,5,,Alan Trejo
0,0,4.43,14,0,0,20.1,0,0.0,Angel Chivilli
,,5.50,,,,34.1,,0.0,Antonio Senzatela
,,8.03,,,,12.1,,0.0,Bradley Blalock
98,8,,25,22,4,,25,,Brenton Doyle
,,6.48,,,,25.0,,0.0,Chase Dollander
,,9.90,,,,30.0,,0.0,Germán Márquez
113,10,,32,31,5,,28,,Hunter Goodman
55,5,,18,10,0,,24,,Jacob Stallings
0,0,2.21,14,0,0,20.1,0,0.0,Jake Bird
,,2.08,,,,17.1,,0.0,Jimmy Herget
73,8,,24,19,5,,28,,Jordan Beck
0,0,0.00,4,0,0,4.0,0,0.0,Juan Mejia
96,4,,29,23,0,,23,,Kyle Farmer
,,5.70,,,,36.1,,0.0,Kyle Freeland
117,8,,33,23,3,,48,,Michael Toglia
88,7,,30,18,3,,20,,Mickey Moniak
66,8,,28,16,0,,10,,Nick Martini
5,2,,3,1,0,,1,,Owen Miller
115,19,,33,19,3,,44,,Ryan McMahon
,,5.23,,,,10.1,,0.0,Scott Alexander
53,6,,23,9,1,,21,,Sean Bouchard
,,4.15,,,,13.0,,0.0,Seth Halvorsen
,,6.92,,,,13.0,,0.0,Tyler Kinley
,,0.00,,,,7.1,,0.0,Zach Agnos
50,5,,23,12,2,,3,,Andy Ibáñez
,,7.27,,,,8.2,,0.0,Beau Brieske
,,2.50,,,,18.0,,0.0,Brant Hurter
,,1.53,,,,17.2,,0.0,Brenan Hanifee
,,2.70,,,,36.2,,0.0,Casey Mize
,,0.00,,,,4.1,,0.0,Chase Lee
84,19,,32,16,3,,23,,Colt Keith
93,0,,25,28,4,,28,,Dillon Dingler
86,8,,22,25,4,,9,,Gleyber Torres
30,7,,12,3,0,,10,,Jace Jung
,,3.79,,,,38.0,,0.0,Jack Flaherty
,,3.38,,,,24.0,,0.0,Jackson Jobe
94,4,,28,29,3,,23,,Javier Báez
58,15,,26,10,1,,20,,Justyn-Henry Malloy
112,2,,32,33,8,,19,,Kerry Carpenter
,,3.03,,,,38.2,,0.0,Reese Olson
135,8,,34,37,8,,41,,Riley Greene
,,0.00,,,,3.2,,0.0,Sean Guenther
124,20,,35,29,10,,38,,Spencer Torkelson
,,2.21,,,,40.2,,0.0,Tarik Skubal
25,0,,7,9,0,,7,,Tomás Nido
0,0,0.71,12,0,0,12.2,0,0.0,Tommy Kahnle
107,13,,34,25,3,,26,,Trey Sweeney
,,2.76,,,,16.1,,0.0,Tyler Holton
,,2.57,,,,14.0,,0.0,Will Vest
110,16,,32,32,1,,35,,Zach McKinstry
,,0.00,,,,7.0,,0.0,Bennett Sousa
64,7,,23,15,0,,24,,Brendan Rodgers
,,1.93,,,,14.0,,0.0,Bryan Abreu
,,1.72,,,,15.2,,0.0,Bryan King
78,9,,24,16,3,,26,,Cam Smith
25,4,,22,7,0,,10,,Chas McCormick
120,9,,32,24,4,,39,,Christian Walker
,,4.39,,,,41.0,,0.0,Framber Valdez
,,3.86,,,,28.0,,0.0,Hayden Wesneski
,,1.67,,,,43.0,,0.0,Hunter Brown
120,17,,32,30,4,,23,,Isaac Paredes
89,8,,32,27,2,,21,,Jake Meyers
124,10,,33,35,4,,20,,Jeremy Peña
131,9,,32,34,4,,29,,Jose Altuve
,,1.80,,,,15.0,,0.0,Josh Hader
,,5.40,,,,3.1,,0.0,Kaleb Ort
,,0.00,,,,3.2,,0.0,Lance McCullers Jr.
46,3,,19,10,0,,3,,Mauricio Dubón
,,5.08,,,,28.1,,0.0,Ronel Blanco
,,2.93,,,,27.2,,0.0,Ryan Gusto
,,1.69,,,,16.0,,0.0,Steven Okert
,,6.39,,,,12.2,,0.0,Tayler Scott
43,6,,17,10,1,,10,,Victor Caratini
104,3,,28,23,3,,22,,Yainer Diaz
100,16,,29,21,3,,21,,Yordan Alvarez
46,3,,17,13,1,,15,,Zach Dezenzo
,,4.15,,,,13.0,,0.0,Angel Zerpa
134,14,,35,41,4,,25,,Bobby Witt Jr.
,,2.40,,,,15.0,,0.0,Carlos Estévez
47,8,,23,9,1,,15,,Cavan Biggio
,,8.25,,,,12.0,,0.0,Chris Stratton
,,4.40,,,,30.2,,0.0,Cole Ragans
,,1.10,,,,16.1,,0.0,Daniel Lynch IV
71,3,,21,20,1,,20,,Drew Waters
56,3,,21,15,1,,10,,Freddy Fermin
75,7,,24,12,0,,16,,Hunter Renfroe
,,1.88,,,,14.1,,0.0,John Schreiber
118,19,,32,26,1,,22,,Jonathan India
,,1.98,,,,41.0,,0.0,Kris Bubic
83,1,,31,20,2,,19,,Kyle Isbel
,,0.63,,,,14.1,,0.0,Lucas Erceg
3,1,,1,1,1,,0,,Luke Maile
119,12,,34,38,4,,19,,Maikel Garcia
33,3,,15,10,0,,8,,Mark Canha
,,4.23,,,,38.1,,0.0,Michael Lorenzen
113,2,,32,23,1,,20,,Michael Massey
,,3.52,,,,38.1,,0.0,Michael Wacha
123,7,,32,30,2,,25,,Salvador Perez
,,3.07,,,,44.0,,0.0,Seth Lugo
,,0.00,,,,8.0,,0.0,Steven Cruz
,,0.00,,,,2.0,,0.0,Taylor Clarke
132,9,,34,26,6,,26,,Vinnie Pasquantino
,,2.87,,,,15.2,,0.0,Alex Vesia
108,9,,31,29,6,,30,,Andy Pages
,,3.38,,,,16.0,,0.0,Anthony Banda
36,1,,11,9,0,,10,,Austin Barnes
,,2.91,,,,21.2,,0.0,Ben Casparius
20,0,,20,4,0,,8,,Chris Taylor
,,4.36,,,,33.0,,0.0,Dustin May
67,6,0.00,25,12,5,1.0,21,0.0,Enrique Hernández
,,0.00,,,,4.2,,0.0,Evan Phillips
81,11,,23,27,6,,15,,Freddie Freeman
0,0,,2,0,0,,0,,Hyeseong Kim
,,3.57,,,,17.2,,0.0,Jack Dreyer
,,2.93,,,,15.1,,0.0,Kirby Yates
,,3.78,,,,16.2,,0.0,Luis García
102,17,,32,19,1,,38,,Max Muncy
99,18,,31,14,2,,38,,Michael Conforto
49,1,22.50,19,13,1,2.0,8,0.0,Miguel Rojas
119,16,,31,31,5,,12,,Mookie Betts
,,3.86,,,,30.1,,0.0,Roki Sasaki
126,22,,32,37,8,,38,,Shohei Ohtani
0,0,2.25,16,0,0,16.0,0,0.0,Tanner Scott
128,4,,32,39,9,,25,,Teoscar Hernández
,,4.50,,,,6.0,,0.0,Tony Gonsolin
85,15,,27,27,3,,23,,Will Smith
,,4.50,,,,14.0,,0.0,Yoendrys Gómez
,,0.90,,,,40.0,,0.0,Yoshinobu Yamamoto
61,14,,23,21,0,,7,,Alex Call
63,1,36.00,20,16,2,1.0,7,0.0,Amed Rosario
,,0.00,,,,0.2,,0.0,Andrew Chafin
,,4.43,,,,22.1,,0.0,Brad Lord
88,4,,22,25,4,,21,,CJ Abrams
,,5.63,,,,8.0,,0.0,Cole Henry
117,6,,32,23,4,,36,,Dylan Crews
,,9.20,,,,14.2,,0.0,Eduardo Salazar
,,2.19,,,,12.1,,0.0,Jackson Rutledge
80,10,,30,17,0,,13,,Jacob Young
,,4.01,,,,42.2,,0.0,Jake Irvin
132,22,,35,36,9,,40,,James Wood
,,5.87,,,,15.1,,0.0,Jorge López
,,5.79,,,,18.2,,0.0,Jose A. Ferrer
52,2,,18,12,0,,16,,José Tena
108,12,,30,15,5,,27,,Josh Bell
114,7,,31,34,2,,14,,Keibert Ruiz
,,2.63,,,,13.2,,0.0,Kyle Finnegan
,,10.32,,,,11.1,,0.0,Lucas Sims
111,8,,31,26,3,,17,,Luis García Jr.
,,3.33,,,,46.0,,0.0,MacKenzie Gore
,,3.48,,,,41.1,,0.0,Mitchell Parker
29,3,,12,5,0,,7,,Nasim Nuñez
130,14,,35,33,6,,42,,Nathaniel Lowe
22,0,,8,4,1,,11,,Riley Adams
,,5.86,,,,35.1,,0.0,Trevor Williams
127,10,,33,28,7,,24,,Brandon Nimmo
,,2.95,,,,36.2,,0.0,Clay Holmes
,,3.06,,,,32.1,,0.0,David Peterson
,,,,,,,,,Dedniel Núñez
,,4.15,,,,13.0,,0.0,Edwin Díaz
28,4,,7,8,1,,9,,Francisco Alvarez
138,11,,34,40,6,,24,,Francisco Lindor
,,3.86,,,,2.1,,0.0,Génesis Cabrera
,,2.61,,,,31.0,,0.0,Griffin Canning
,,1.37,,,,19.2,,0.0,Huascar Brazobán
26,3,,7,7,1,,2,,Jeff McNeil
67,9,,24,16,1,,20,,Jesse Winker
17,0,,7,5,0,,1,,José Azocar
,,3.32,,,,19.0,,0.0,José Buttó
129,25,,35,33,5,,23,,Juan Soto
,,1.38,,,,32.2,,0.0,Kodai Senga
68,6,,24,16,1,,17,,Luis Torrens
84,8,,30,25,0,,18,,Luisangel Acuña
119,15,,32,26,4,,29,,Mark Vientos
,,2.95,,,,21.1,,0.0,Max Kranick
125,25,,35,43,8,,24,,Pete Alonso
,,0.63,,,,14.1,,0.0,Reed Garrett
,,4.26,,,,12.2,,0.0,Ryne Stanek
57,4,,23,11,2,,12,,Starling Marte
,,2.50,,,,36.0,,0.0,Tylor Megill
90,2,,28,22,1,,21,,Tyrone Taylor
